district,col,row,rlean
NJ-12,1,1,-29.02
NJ-2,1,1,4.93
NJ-3,1,1,7.16
NJ-4,1,1,17.57
NJ-5,1,1,6.29
NJ-6,1,1,-13.86
NJ-7,1,1,5.89
NJ-8,1,1,-51
NJ-9,1,1,-28.85
NM-1,1,1,-15.32
NM-2,1,1,9.97
NM-3,1,1,-15.42
NV-1,1,1,-25.86
NV-2,1,1,15.42
NV-3,1,1,4.91
NV-4,1,1,-2.32
NY-1,1,1,9.96
NY-10,1,1,-53.71
NY-11,1,1,7.02
NY-12,1,1,-62.75
NY-13,1,1,-85.36
NY-14,1,1,-57.21
NY-15,1,1,-87.88
NY-16,1,1,-49.02
NY-17,1,1,-16.63
NY-18,1,1,1.75
NY-19,1,1,4.39
NY-2,1,1,6.52
NY-20,1,1,-13.87
NY-21,1,1,9.16
NY-22,1,1,12.4
NY-23,1,1,12.2
NY-24,1,1,-5.78
NY-25,1,1,-15.46
NY-26,1,1,-20.98
NY-27,1,1,22.43
NY-3,1,1,-3.01
NY-4,1,1,-8.97
NY-5,1,1,-73.45
NY-6,1,1,-32.27
NY-7,1,1,-74.63
NY-8,1,1,-71.45
NY-9,1,1,-67.6
OH-1,1,1,8.11
OH-10,1,1,7.17
OH-11,1,1,-62.22
OH-12,1,1,12.72
OH-13,1,1,-11.82
OH-14,1,1,10.45
OH-15,1,1,13.83
OH-16,1,1,15.57
OH-2,1,1,16.1
OH-3,1,1,-37.36
OH-4,1,1,28.85
OH-5,1,1,21.73
OH-6,1,1,34.39
OH-7,1,1,24.72
OH-8,1,1,33.32
OH-9,1,1,-25.29
OK-1,1,1,27.7
OK-2,1,1,43.31
OK-3,1,1,49.12
OK-4,1,1,34.37
OK-5,1,1,13.09
OR-1,1,1,-17.13
OR-2,1,1,22.65
OR-3,1,1,-44.23
OR-4,1,1,1.57
OR-5,1,1,-0.07
PA-1,1,1,0.86
PA-10,1,1,10.87
PA-11,1,1,27.45
PA-12,1,1,35.26
PA-13,1,1,44.74
PA-14,1,1,27.98
PA-15,1,1,40.6
PA-16,1,1,17.67
PA-17,1,1,5.96
PA-18,1,1,-25.02
PA-2,1,1,-47.76
PA-3,1,1,-81.09
PA-4,1,1,-14.57
PA-5,1,1,-25.29
PA-6,1,1,-4.54
PA-7,1,1,-0.34
PA-8,1,1,5.16
PA-9,1,1,30.75
RI-1,1,1,-33.03
RI-2,1,1,-16.57
SC-1,1,1,18.04
SC-2,1,1,21.64
SC-3,1,1,38.79
SC-4,1,1,29.07
SC-5,1,1,19.44
SC-6,1,1,-35.34
SC-7,1,1,19.24
SD-1,1,1,28.19
TN-1,1,1,57.23
TN-2,1,1,39.22
TN-3,1,1,36.34
TN-4,1,1,41.69
TN-5,1,1,-13.24
TN-6,1,1,49.32
TN-7,1,1,40.62
TN-8,1,1,38.28
TN-9,1,1,-54.09
TX-1,1,1,51.44
TX-10,1,1,18.54
TX-11,1,1,64.32
TX-12,1,1,37.44
TX-13,1,1,67.83
TX-14,1,1,25.48
TX-15,1,1,-10.71
TX-16,1,1,-31.4
TX-17,1,1,24.91
TX-18,1,1,-49.95
TX-19,1,1,54.31
TX-2,1,1,21
TX-20,1,1,-18.5
TX-21,1,1,19.67
TX-22,1,1,19.44
TX-23,1,1,4.34
TX-24,1,1,17.31
TX-25,1,1,22.99
TX-26,1,1,35.58
TX-27,1,1,28.83
TX-28,1,1,-14.69
TX-29,1,1,-35.83
TX-3,1,1,25.18
TX-30,1,1,-55.11
TX-31,1,1,21.26
TX-32,1,1,9.63
TX-33,1,1,-42.21
TX-34,1,1,-16.12
TX-35,1,1,-26.2
TX-36,1,1,52.5
TX-4,1,1,57.54
TX-5,1,1,34.59
TX-6,1,1,19.6
TX-7,1,1,11.89
TX-8,1,1,56.39
TX-9,1,1,-54.4
UT-1,1,1,39.4
UT-2,1,1,24.44
UT-3,1,1,37.73
UT-4,1,1,18.96
VA-1,1,1,9.91
VA-10,1,1,-8.67
VA-11,1,1,-36.89
VA-2,1,1,0.65
VA-3,1,1,-35.18
VA-4,1,1,-23.87
VA-5,1,1,7.25
VA-6,1,1,20.8
VA-7,1,1,5.47
VA-8,1,1,-48.81
VA-9,1,1,35.26
VT-1,1,1,-23.93
WA-1,1,1,-14.44
WA-10,1,1,-12.65
WA-2,1,1,-21.71
WA-3,1,1,5.5
WA-4,1,1,22.61
WA-5,1,1,12.04
WA-6,1,1,-13.15
WA-7,1,1,-65.78
WA-8,1,1,-2.55
WA-9,1,1,-43.88
WI-1,1,1,12.84
WI-2,1,1,-32.59
WI-3,1,1,3.91
WI-4,1,1,-47.46
WI-5,1,1,25.82
WI-6,1,1,18.27
WI-7,1,1,19.2
WI-8,1,1,17.54
WV-1,1,1,33.3
WV-2,1,1,28.32
WV-3,1,1,40.11
WY-1,1,1,44.56
