culture,red,black
Western/American,"Anger
Courage
Danger
Desire
Erotic
Excitement","Authority
Death
Eternity
Evil"
Native American,"Passion
Success","Balance
Death
Self-cultivation"
South American,TBD,TBD
Eastern European,TBD,TBD
Japanese,TBD,TBD
Chinese,TBD,TBD
Asian (other),TBD,TBD
Hindu,TBD,TBD
Muslim,TBD,TBD
African,TBD,TBD
