id,original_id,name,appointed_by
0,JGRoberts,Roberts,R
1,CThomas,Thomas,R
2,RBGinsburg,Bader Ginsburg,D
3,SGBreyer,Breyer,D
4,SAAlito,Alito,R
5,SSotomayor,Sotomayor,D
6,EKagan,Kagan,D
7,NMGorsuch,Gorsuch,R
8,BMKavanaugh,Kavanaugh,R
